BMS Master Parameter
Date/Time: 10.11.2017 08:10:05
------------------------------

PCM ID;Name;Value;Unit
0x0300; Version DataSpace; 823;
0x0301; Number of Slaves; 4;
0x0302; Number of Cells; 32;
0x0303; Cells per Slaves; 8;
0x0304; Sensor Type; 131;
0x0100; Capacity; 648000000; mAs
0x0305; Battery Type; 135;
0x0306; User Type; 61;
0x0307; Configuration Bits; 0x00000001; hex
0x0309; Current Factor; 1000;
0x0132; Use only High Current Measure; 1;
0x0134; General Application-ID; 0x00000000;
0x0340; Use segmented BattModel; 0;
0x0341; Battery, Number of parallel Strings; 1;
0x0342; String, Number of serial Moduls; 1;
0x0343; Modul, Cells per Slave 1; 0x00000000; hex
0x0344; Modul, Cells per Slave 2; 0x00000000; hex
0x0347; Modul, Cells per Slave 3; 0x00000000; hex
0x0348; Modul, Cells per Slave 4; 0x00000000; hex
0x0345; Slave Type; 3;
0x0360; ANA Moduls per CON 1; -;
0x0361; ANA Moduls per CON 2; -;
0x0362; ANA Moduls per CON 3; -;
0x0363; ANA Moduls per CON 4; -;
0x0364; ANA Moduls per CON 5; -;
0x0365; ANA Moduls per CON 6; -;
0x0366; ANA Moduls per CON 7; -;
0x0367; ANA Moduls per CON 8; -;
0x0368; ANA Moduls per CON 9; -;
0x0369; ANA Moduls per CON 10; -;
0x036A; ANA Moduls per CON 11; -;
0x036B; ANA Moduls per CON 12; -;
0x036C; ANA Moduls per CON 13; -;
0x036D; ANA Moduls per CON 14; -;
0x036E; ANA Moduls per CON 15; -;
0x036F; ANA Moduls per CON 16; -;
0x0346; Iso Monitor Type; 0;
0x030A; CAN Baudrate (Btr0/Btr1); 0xC349; hex
0x030B; CAN ID Tx Error and Warnings; 0x0100; hex
0x032B; CAN ID Tx ESO; 0x0101; hex
0x0323; CAN ID Tx ADS; 0x01FD; hex
0x030C; CAN ID Rx Wakeup Signal; 0x0400; hex
0x0324; CAN ID Tx Wakeup Signal; 0x0401; hex
0x030D; CAN ID Rx Data; 0x0402; hex
0x0325; CAN ID Tx Data; 0x0403; hex
0x030E; CAN ID Rx Diagnosis; 0x0404; hex
0x0326; CAN ID Tx Diagnosis; 0x0405; hex
0x030F; CAN ID Rx Parameter Change Mode; 0x0406; hex
0x0327; CAN ID Tx Parameter Change Mode; 0x0407; hex
0x0310; CAN ID Rx NLG5 ST; 0x0000; hex
0x0311; CAN ID Rx NLG5 ACT I; 0x0000; hex
0x0312; CAN ID Rx NLG5 ACT II; 0x0000; hex
0x0313; CAN ID Rx NLG5 TEMP; 0x0000; hex
0x0314; CAN ID Rx NLG5 ERR; 0x0000; hex
0x0315; CAN ID Tx NLG5 CTL; 0x02FF; hex
0x0328; CAN ID Tx NLG5 CTL 2.CHARGER; 0x0000; hex
0x0329; CAN ID Tx NLG5 CTL 3.CHARGER; 0x0000; hex
0x0316; CAN ID Tx ESS1; 0x0000; hex
0x0317; CAN ID Tx ESS2; 0x0000; hex
0x0318; CAN ID Tx ESS3; 0x0000; hex
0x0319; CAN ID Tx ESS4; 0x0000; hex
0x0320; CAN ID Rx Cabine Temperature; 0x0000; hex
0x0321; CAN ID Rx Precharge Drive; 0x0000; hex
0x0322; CAN ID Rx Precharge Plugin; 0x0000; hex
0x0147; CAN Voltage Resolution; 1;
0x032A; CAN ID Display OPUSLP10; -; hex
0x013E; CAN Watchdog Shutdown Errorcounter; 0; hex
0x01E0; Automtic Send Diagnosis SubId (0); 0x18; hex
0x01E1; Automtic Send Diagnosis SubId (1); 0x34; hex
0x01E2; Automtic Send Diagnosis SubId (2); 0x36; hex
0x01E3; Automtic Send Diagnosis SubId (3); 0x3A; hex
0x01E4; Automtic Send Diagnosis SubId (4); 0x52; hex
0x01E5; Automtic Send Diagnosis SubId (5); 0x53; hex
0x01E6; Automtic Send Diagnosis SubId (6); 0x38; hex
0x01E7; Automtic Send Diagnosis SubId (7); 0x3E; hex
0x0146; Auto Diag Send Mode; 1;
0x013F; CAN WatchDog Mode?; 0;
0x014C; CAN ErrWrn Tx Mode; 1;
0x0193; CAN ESS Tx Mode; 0;
0x0109; Lowest Cell Voltage; 1800; mV
0x010A; Highest Cell Voltage; 4400; mV
0x0105; Error Cell Voltage Min; 2700; mV
0x0106; Error Cell Voltage Max; 4000; mV
0x0107; Warning Cell Voltage Min; 2880; mV
0x0108; Warning Cell Voltage Max; 3720; mV
0x012D; Voltage Shutdown Errorcounter; 2;
0x012A; Charge Time if Cell Voltage Error; 3; s
0x012B; Max. Charge Current if Cell Voltage Overflow; 500; mA
0x012C; Max. Discharge Current if Cell Voltage Underflow; 500; mA
0x0114; Error Current Max Charge; 250000; mA
0x0115; Error Current Max Discharge; 500000; mA
0x0116; Warning Current Max Charge; 180000; mA
0x0117; Warning Current Max Discharge; 320000; mA
0x0118; Current Peak Max Charge Immediately; 550000; mA
0x0119; Current Peak Max Discharge Immediately; 550000; mA
0x011A; Current Peak Max Charge Timer; 210000; mA
0x011B; Current Peak Max Discharge Timer; 510000; mA
0x011C; Current Peak 40ms Number; 250;
0x012E; Current Shutdown Errorcounter; 5;
0x0139; Simulation Slave Thermistor; 0;
0x013A; Simulation Slave Safe Resistor; 1;
0x010C; Error Temperature Min Charge; -20,0; �C
0x010D; Error Temperature Max Charge; 60,0; �C
0x0110; Warning Temperature Min Charge; -20,0; �C
0x0111; Warning Temperature Max Charge; 60,0; �C
0x010E; Error Temperature Min Discharge; -20,0; �C
0x010F; Error Temperature Max Discharge; 60,0; �C
0x0112; Warning Temperature Min Discharge; -15,0; �C
0x0113; Warning Temperature Max Discharge; 45,0; �C
0x011F; Error Slave Safe Resistor Min; 20; Ohm
0x0120; Error Slave Safe Resistor Max; 2000; Ohm
0x012F; Temperature Shutdown Errorcounter; 1;
0x0130; Safe Resistor Shutdown Errorcounter; 1;
0x0168; Fan 1 Start Temperature; 5,0; �C
0x0169; Fan 1 Stop Temperature; 10,0; �C
0x016A; Fan 2 Start Temperature; 0,0; �C
0x016B; Fan 2 Stop Temperature; 10,0; �C
0x016C; Fan 3 Start Temperature; -5,0; �C
0x016D; Fan 3 Stop Temperature; 5,0; �C
0x016E; Fan 4 Start Temperature; 35,0; �C
0x016F; Fan 4 Stop Temperature; 25,0; �C
0x0270; Method of BalanceSystem; 1;
0x0101; Wakeup Time Short; 10; min
0x0102; Wakeup Time Long; 240; min
0x0127; Cell Voltage Difference Max; 10; mV
0x0128; Cell Voltage Min; 3375; mV
0x0129; Idle Counter Discharge; 10;
0x0133; Min. Current for Balance; -5000; mA
